"","X","id","latitude","longitude","findspot_ancient_clean","province_label_clean","modern_region_clean","not_before","not_after","type_of_monument_clean","material_clean","type_of_inscription_clean","transcription","clean_text_interpretive_word","id_people","person_number_insc","name","praenomen","nomen","name_clean","nomen_clean","cognomen","supernomen","gender","origo","status","total_age","age_years","age_months","age_hours","nomen_nonempty"
"39",6617,"HD002979",9.67,45.6949,"Bergamum","Transpadana (Regio XI)","Bergamo",51,74,"tabula","Metal","public legal inscription","Quod Q(uintus) Acilius Montanus M(arcus) Iunius Proculus IIviri v(erba) f(ecerunt) / cum M(arcus) Sempronius Fuscus praefectus cohortis Baeticae vir summae integritatis pro/pe diem successorem exspectet et Romam proficisci debeat q(uid) f(ieri) p(laceret) d(e) e(a) r(e) i(ta) cens(uerunt) / [c]um M(arcus) Sempronius Fuscus adulescens omni[bus virt]utibus instructissimu[s ita se in] colo/nia nostra gesserit ut unus ex nobis esse [videretur] contuleritque in n[os plu]rima / m[eri]ta summa militiae m[o]destia sum[maque] libera[litate re]mittendo inpens[as quas] / pr[io]rum temporum res p(ublica) nostra contulerat reddi[q]ue [tes]timonium debeat qu[od ex] / discipulina(!) optumi max[i]mique principis i[t]a coho[rti B]a[etic]ae p[raef]uerit ut succes[sorem] / stationi eius simile[m speremus pl]acere n[obis l]egat[os ex hoc ordine mitti] clarissimos v[iros et] / rei publica[e a]man[tissimos qui eum] comme[ndent ---]ea [et iudi]cium nostru[m virtu]/tis eius ad optimu[m maximumque] princip[e]m per[ferant] / item per legatos n[ostros --- praefec]tis coho[r]tium [---]NAN(?)[---]nes quos sum[ma? ------","Quod Quintus Acilius Montanus Marcus Iunius Proculus II viri verba fecerunt cum Marcus Sempronius Fuscus praefectus cohortis Baeticae vir summae integritatis prope diem successorem exspectet et Romam proficisci debeat quid fieri placeret de ea re ita censuerunt cum Marcus Sempronius Fuscus adulescens omnibus virtutibus instructissimus ita se in colonia nostra gesserit ut unus ex nobis esse videretur contulerit que in nos plurima merita summa militiae modestia summa que liberalitate remittendo inpensas quas priorum temporum res publica nostra contulerat reddi que testimonium debeat quod ex discipulina optumi maximi que principis ita cohorti Baeticae praefuerit ut successorem stationi eius similem speremus placere nobis legatos ex hoc ordine mitti clarissimos viros et rei publicae amantissimos qui eum commendent ea et iudicium nostrum virtutis eius ad optimum maximum que principem perferant item per legatos nostros praefectis cohortium NAN nes quos summa",6617,3,"M. Sempronius Fuscus","M.","Sempronius","M. Sempronius Fuscus","Sempronius","Fuscus",NA,"male",NA,"equestrian order",NA,NA,NA,NA,"Sempronius"
"40",6631,"HD002986",9.1881,45.4637,"Comum","Transpadana (Regio XI)","Lombardia",111,114,"tabula","Marble","elogium","C(aius) Plinius L(uci) f(ilius) Ouf(entina) Caecilius [Secundus co(n)s(ul)] / augur legat(us) pro pr(aetore) provinciae Pon[ti et Bithyniae pro]/consulari potesta[te] in eam provinciam e[x senatus consulto ab] / Imp(eratore) Caesar(e) Nerva Traiano Aug(usto) German[ico Dacico p(atre) p(atriae) missus] / curator alvei Tiberis et riparum et [cloacarum urbis] / praef(ectus) aerari Saturni praef(ectus) aerari mil[itaris pr(aetor) trib(unus) plebis] / quaestor imp(eratoris) sevir equitum [Romanor(um) turmae ---] / trib(unus) milit(um) leg(ionis) [III] Gallica[e in provincia Syria Xvir stli]/tib(us) iudicand(is) therm[as ---] adiectis in / ornatum HS CCC(trecentis milibus nummum) [--- et eo amp]lius in tutela[m] / HS CC(ducentis milibus nummum) t(estamento) f(ieri) i(ussit) [item in alimenta] libertor(um) suorum homin(um) C / HS CCCCCCCCCCCCCCCCCCMMMMMMMMMMMMMMMMMMCCCCCCXXXXXXVI (decies octies centena milia et sexaginta sex milia cum sescentis sexaginta sex nummum) rei [p(ublicae) legavit quorum inc]rement(a) postea ad epulum / [p]leb(is) urban(ae) voluit pertin[ere --- vivu?]s dedit in aliment(a) pueror(um) / et puellar(um) pleb(is) urban(ae) HS [D(quinquaginta milia) --- et] in tutelam bybliothe/cae HS C(centena milia)","Caius Plinius Luci filius Oufentina Caecilius Secundus consul augur legatus pro praetore provinciae Ponti et Bithyniae proconsulari potestate in eam provinciam ex senatus consulto ab Imperatore Caesare Nerva Traiano Augusto Germanico Dacico patre patriae missus curator alvei Tiberis et riparum et cloacarum urbis praefectus aerari Saturni praefectus aerari militaris praetor tribunus plebis quaestor imperatoris sevir equitum Romanorum turmae tribunus militum legionis III Gallicae in provincia Syria X vir stlitibus iudicandis thermas adiectis in ornatum HS CCCtrecentis milibus nummum et eo amplius in tutelam HS CCducentis milibus nummum testamento fieri iussit item in alimenta libertorum suorum hominum C HS CCCCCCCCCCCCCCCCCCMMMMMMMMMMMMMMMMMMCCCCCCXXXXXXVI decies octies centena milia et sexaginta sex milia cum sescentis sexaginta sex nummum rei publicae legavit quorum incrementa postea ad epulum plebis urbanae voluit pertinere vivus dedit in alimenta puerorum et puellarum plebis urbanae HS Dquinquaginta milia et in tutelam bybliothecae HS Ccentena milia",6631,1,"C. Plinius L.f. Ouf. Caecilius [Secundus]","C.","Plinius Caecilius","C. Plinius L.f. Ouf. Caecilius [Secundus]","Plinius Caecilius","Secundus+",NA,"male",NA,"senatorial order",NA,NA,NA,NA,"Plinius Caecilius"
"41",6632,"HD002986",9.1881,45.4637,"Comum","Transpadana (Regio XI)","Lombardia",111,114,"tabula","Marble","elogium","C(aius) Plinius L(uci) f(ilius) Ouf(entina) Caecilius [Secundus co(n)s(ul)] / augur legat(us) pro pr(aetore) provinciae Pon[ti et Bithyniae pro]/consulari potesta[te] in eam provinciam e[x senatus consulto ab] / Imp(eratore) Caesar(e) Nerva Traiano Aug(usto) German[ico Dacico p(atre) p(atriae) missus] / curator alvei Tiberis et riparum et [cloacarum urbis] / praef(ectus) aerari Saturni praef(ectus) aerari mil[itaris pr(aetor) trib(unus) plebis] / quaestor imp(eratoris) sevir equitum [Romanor(um) turmae ---] / trib(unus) milit(um) leg(ionis) [III] Gallica[e in provincia Syria Xvir stli]/tib(us) iudicand(is) therm[as ---] adiectis in / ornatum HS CCC(trecentis milibus nummum) [--- et eo amp]lius in tutela[m] / HS CC(ducentis milibus nummum) t(estamento) f(ieri) i(ussit) [item in alimenta] libertor(um) suorum homin(um) C / HS CCCCCCCCCCCCCCCCCCMMMMMMMMMMMMMMMMMMCCCCCCXXXXXXVI (decies octies centena milia et sexaginta sex milia cum sescentis sexaginta sex nummum) rei [p(ublicae) legavit quorum inc]rement(a) postea ad epulum / [p]leb(is) urban(ae) voluit pertin[ere --- vivu?]s dedit in aliment(a) pueror(um) / et puellar(um) pleb(is) urban(ae) HS [D(quinquaginta milia) --- et] in tutelam bybliothe/cae HS C(centena milia)","Caius Plinius Luci filius Oufentina Caecilius Secundus consul augur legatus pro praetore provinciae Ponti et Bithyniae proconsulari potestate in eam provinciam ex senatus consulto ab Imperatore Caesare Nerva Traiano Augusto Germanico Dacico patre patriae missus curator alvei Tiberis et riparum et cloacarum urbis praefectus aerari Saturni praefectus aerari militaris praetor tribunus plebis quaestor imperatoris sevir equitum Romanorum turmae tribunus militum legionis III Gallicae in provincia Syria X vir stlitibus iudicandis thermas adiectis in ornatum HS CCCtrecentis milibus nummum et eo amplius in tutelam HS CCducentis milibus nummum testamento fieri iussit item in alimenta libertorum suorum hominum C HS CCCCCCCCCCCCCCCCCCMMMMMMMMMMMMMMMMMMCCCCCCXXXXXXVI decies octies centena milia et sexaginta sex milia cum sescentis sexaginta sex nummum rei publicae legavit quorum incrementa postea ad epulum plebis urbanae voluit pertinere vivus dedit in alimenta puerorum et puellarum plebis urbanae HS Dquinquaginta milia et in tutelam bybliothecae HS Ccentena milia",6632,2,"Nerva Traiano",NA,NA,"Nerva Traiano",NA,"Nerva Traianus",NA,"male",NA,NA,NA,NA,NA,NA,NA
"42",6872,"HD003087",8.4262,45.3211,"Vercellae","Transpadana (Regio XI)","Piemonte",1,200,"stele","Marble","epitaph","T(ito) Arruntio T(iti) f(ilio) / [------","Tito Arruntio Titi filio",6872,1,"T. Arruntio T.f. [---]","T.","Arruntius","T. Arruntio T.f. [---]","Arruntius","[---]",NA,"male",NA,NA,NA,NA,NA,NA,"Arruntius"
"43",6875,"HD003090",8.4264,45.3211,"Vercellae","Transpadana (Regio XI)","Piemonte",401,600,"tabula","Marble","epitaph","Hic requiescit in pace / b(onae) m(emoriae) Candidianus / p(res)b(yte)r qui vixit in s(a)e/colum(!) annus(!) pl(us) m(inus) XL / et in presbiteratum(!) / habuit annus(!) XI","Hic requiescit in pace bonae memoriae Candidianus presbyter qui vixit in saecolum annus plus minus XL et in presbiteratum habuit annus XI",6875,1,"Candidianus",NA,NA,"Candidianus",NA,"Candidianus",NA,"male",NA,NA,40,40,NA,NA,NA
"44",6878,"HD003093",8.4264,45.3211,"Vercellae","Transpadana (Regio XI)","Vercelli",1,200,"tabula","Marble","honorific inscription","------]ir decu[rio ---] / [VIvir] Au[g]ustali[s ---] / [---]tius L(uci) f(ilius) Po[l(lia) ---] / [---]r IIvir qu[inq(uennalis) ---] / [---]IS V I(?) [------","ir decurio VI vir Augustalis tius Luci filius Pollia r II vir quinquennalis IS V I",6878,1,"[---]tius L.f. Po[l. ---]","[-]","[---]tius","[---]tius L.f. Po[l. ---]","[---]tius","[---]",NA,"male",NA,"decurial order, higher local offices",NA,NA,NA,NA,""
"45",7190,"HD003270",NA,NA,"NULL","Transpadana (Regio XI)","Piemonte",1,100,"stele","NULL","epitaph","[Mo?]getius [---] / [s]ibi et Chilon[i] / [et] Rufo filiis / t(estamento) f(ieri) i(ussit)","Mogetius sibi et Chiloni et Rufo filiis testamento fieri iussit",7190,1,"[Mo?]getius [---]",NA,"Mogetius+?","[Mo?]getius [---]","Mogetius","[---]",NA,"male",NA,NA,NA,NA,NA,NA,"Mogetius"
"46",7191,"HD003270",NA,NA,"NULL","Transpadana (Regio XI)","Piemonte",1,100,"stele","NULL","epitaph","[Mo?]getius [---] / [s]ibi et Chilon[i] / [et] Rufo filiis / t(estamento) f(ieri) i(ussit)","Mogetius sibi et Chiloni et Rufo filiis testamento fieri iussit",7191,2,"Chilon[i]",NA,NA,"Chilon[i]",NA,"Chilo+",NA,"male",NA,NA,NA,NA,NA,NA,NA
"47",7192,"HD003270",NA,NA,"NULL","Transpadana (Regio XI)","Piemonte",1,100,"stele","NULL","epitaph","[Mo?]getius [---] / [s]ibi et Chilon[i] / [et] Rufo filiis / t(estamento) f(ieri) i(ussit)","Mogetius sibi et Chiloni et Rufo filiis testamento fieri iussit",7192,3,"Rufo",NA,NA,"Rufo",NA,"Rufus",NA,"male",NA,NA,NA,NA,NA,NA,NA
"48",7697,"HD003517",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"stele","NULL","epitaph","Primus / [-]ronco/nis f(ilius)","Primus ronconis filius",7697,1,"Primus [-]ronconis f.",NA,NA,"Primus [-]ronconis f.",NA,"Primus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",7698,"HD003517",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"stele","NULL","epitaph","Primus / [-]ronco/nis f(ilius)","Primus ronconis filius",7698,2,"[-]ronconis",NA,NA,"[-]ronconis",NA,"[-]ronco",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",7702,"HD003520",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"stele","NULL","epitaph","Severa / Licini f(ilia) / Tertulla Sumelli C(ai) f(ilia) / C(ai) Sumeli Pollionis / f(ilii)","Severa Licini filia Tertulla Sumelli Cai filia Cai Sumeli Pollionis filii",7702,1,"Severa Licini f.",NA,NA,"Severa Licini f.",NA,"Severa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",7703,"HD003520",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"stele","NULL","epitaph","Severa / Licini f(ilia) / Tertulla Sumelli C(ai) f(ilia) / C(ai) Sumeli Pollionis / f(ilii)","Severa Licini filia Tertulla Sumelli Cai filia Cai Sumeli Pollionis filii",7703,2,"Licini",NA,NA,"Licini",NA,"Licinus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",7704,"HD003520",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"stele","NULL","epitaph","Severa / Licini f(ilia) / Tertulla Sumelli C(ai) f(ilia) / C(ai) Sumeli Pollionis / f(ilii)","Severa Licini filia Tertulla Sumelli Cai filia Cai Sumeli Pollionis filii",7704,3,"Tertulla Sumelli C.f.",NA,NA,"Tertulla Sumelli C.f.",NA,"Tertulla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",7705,"HD003520",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"stele","NULL","epitaph","Severa / Licini f(ilia) / Tertulla Sumelli C(ai) f(ilia) / C(ai) Sumeli Pollionis / f(ilii)","Severa Licini filia Tertulla Sumelli Cai filia Cai Sumeli Pollionis filii",7705,4,"C. Sumeli Pollionis f.","C.","Sumelius","C. Sumeli Pollionis f.","Sumelius",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sumelius"
"54",7706,"HD003520",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"stele","NULL","epitaph","Severa / Licini f(ilia) / Tertulla Sumelli C(ai) f(ilia) / C(ai) Sumeli Pollionis / f(ilii)","Severa Licini filia Tertulla Sumelli Cai filia Cai Sumeli Pollionis filii",7706,5,"Pollionis",NA,NA,"Pollionis",NA,"Pollio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",7709,"HD003523",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"stele","NULL","epitaph","Secuttius / Ebrisci / f(ilius) / D(is) M(anibus)","Secuttius Ebrisci filius Dis Manibus",7709,1,"Secuttius Ebrisci f.",NA,NA,"Secuttius Ebrisci f.",NA,"Secuttius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",7710,"HD003523",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"stele","NULL","epitaph","Secuttius / Ebrisci / f(ilius) / D(is) M(anibus)","Secuttius Ebrisci filius Dis Manibus",7710,2,"Ebrisci",NA,NA,"Ebrisci",NA,"Ebriscus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",7715,"HD003526",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"stele","NULL","epitaph","Aci<m=N>us Vibi f(ilius)","Acimus Vibi filius",7715,1,"Acinus(!) Vibi f.",NA,NA,"Acinus(!) Vibi f.",NA,"Acinus (= Acimus)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",7716,"HD003526",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"stele","NULL","epitaph","Aci<m=N>us Vibi f(ilius)","Acimus Vibi filius",7716,2,"Vibi",NA,NA,"Vibi",NA,"Vibius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",7746,"HD003544",7.6718,45.3504,"NULL","Transpadana (Regio XI)","NULL",51,150,"tabula","NULL","epitaph","P(ublius) Livius P(ubli) f(ilius) Macer / IIvir QDIV sibi et / Iuniae C(ai) f(iliae) Vetullae uxori / P(ublio) Livio Macro VIvir(o) avo / Pinariae Sex(ti) f(iliae) Quartae aviae / Liviae P(ubli) f(iliae) Pollae amitae / Vibiae T(iti) f(iliae) Pollae matri t(estamento) f(ieri) i(ussit)","Publius Livius Publi filius Macer II vir QDIV sibi et Iuniae Cai filiae Vetullae uxori Publio Livio Macro VI viro avo Pinariae Sexti filiae Quartae aviae Liviae Publi filiae Pollae amitae Vibiae Titi filiae Pollae matri testamento fieri iussit",7746,1,"P. Livius P.f. Macer","P.","Livius","P. Livius P.f. Macer","Livius","Macer",NA,"male",NA,"decurial order, higher local offices",NA,NA,NA,NA,"Livius"
"60",7747,"HD003544",7.6718,45.3504,"NULL","Transpadana (Regio XI)","NULL",51,150,"tabula","NULL","epitaph","P(ublius) Livius P(ubli) f(ilius) Macer / IIvir QDIV sibi et / Iuniae C(ai) f(iliae) Vetullae uxori / P(ublio) Livio Macro VIvir(o) avo / Pinariae Sex(ti) f(iliae) Quartae aviae / Liviae P(ubli) f(iliae) Pollae amitae / Vibiae T(iti) f(iliae) Pollae matri t(estamento) f(ieri) i(ussit)","Publius Livius Publi filius Macer II vir QDIV sibi et Iuniae Cai filiae Vetullae uxori Publio Livio Macro VI viro avo Pinariae Sexti filiae Quartae aviae Liviae Publi filiae Pollae amitae Vibiae Titi filiae Pollae matri testamento fieri iussit",7747,2,"Iuniae C.f. Vetullae",NA,"Iunia","Iuniae C.f. Vetullae","Iunia","Vetulla",NA,NA,NA,NA,NA,NA,NA,NA,"Iunia"
"61",7748,"HD003544",7.6718,45.3504,"NULL","Transpadana (Regio XI)","NULL",51,150,"tabula","NULL","epitaph","P(ublius) Livius P(ubli) f(ilius) Macer / IIvir QDIV sibi et / Iuniae C(ai) f(iliae) Vetullae uxori / P(ublio) Livio Macro VIvir(o) avo / Pinariae Sex(ti) f(iliae) Quartae aviae / Liviae P(ubli) f(iliae) Pollae amitae / Vibiae T(iti) f(iliae) Pollae matri t(estamento) f(ieri) i(ussit)","Publius Livius Publi filius Macer II vir QDIV sibi et Iuniae Cai filiae Vetullae uxori Publio Livio Macro VI viro avo Pinariae Sexti filiae Quartae aviae Liviae Publi filiae Pollae amitae Vibiae Titi filiae Pollae matri testamento fieri iussit",7748,3,"P. Livio Macro","P.","Livius","P. Livio Macro","Livius","Macer",NA,NA,NA,"Augustales",NA,NA,NA,NA,"Livius"
"62",7749,"HD003544",7.6718,45.3504,"NULL","Transpadana (Regio XI)","NULL",51,150,"tabula","NULL","epitaph","P(ublius) Livius P(ubli) f(ilius) Macer / IIvir QDIV sibi et / Iuniae C(ai) f(iliae) Vetullae uxori / P(ublio) Livio Macro VIvir(o) avo / Pinariae Sex(ti) f(iliae) Quartae aviae / Liviae P(ubli) f(iliae) Pollae amitae / Vibiae T(iti) f(iliae) Pollae matri t(estamento) f(ieri) i(ussit)","Publius Livius Publi filius Macer II vir QDIV sibi et Iuniae Cai filiae Vetullae uxori Publio Livio Macro VI viro avo Pinariae Sexti filiae Quartae aviae Liviae Publi filiae Pollae amitae Vibiae Titi filiae Pollae matri testamento fieri iussit",7749,4,"Pinariae Sex.f. Quartae",NA,"Pinaria","Pinariae Sex.f. Quartae","Pinaria","Quarta",NA,NA,NA,NA,NA,NA,NA,NA,"Pinaria"
"63",7750,"HD003544",7.6718,45.3504,"NULL","Transpadana (Regio XI)","NULL",51,150,"tabula","NULL","epitaph","P(ublius) Livius P(ubli) f(ilius) Macer / IIvir QDIV sibi et / Iuniae C(ai) f(iliae) Vetullae uxori / P(ublio) Livio Macro VIvir(o) avo / Pinariae Sex(ti) f(iliae) Quartae aviae / Liviae P(ubli) f(iliae) Pollae amitae / Vibiae T(iti) f(iliae) Pollae matri t(estamento) f(ieri) i(ussit)","Publius Livius Publi filius Macer II vir QDIV sibi et Iuniae Cai filiae Vetullae uxori Publio Livio Macro VI viro avo Pinariae Sexti filiae Quartae aviae Liviae Publi filiae Pollae amitae Vibiae Titi filiae Pollae matri testamento fieri iussit",7750,5,"Liviae P.f. Pollae",NA,"Livia","Liviae P.f. Pollae","Livia","Polla",NA,NA,NA,NA,NA,NA,NA,NA,"Livia"
"64",7751,"HD003544",7.6718,45.3504,"NULL","Transpadana (Regio XI)","NULL",51,150,"tabula","NULL","epitaph","P(ublius) Livius P(ubli) f(ilius) Macer / IIvir QDIV sibi et / Iuniae C(ai) f(iliae) Vetullae uxori / P(ublio) Livio Macro VIvir(o) avo / Pinariae Sex(ti) f(iliae) Quartae aviae / Liviae P(ubli) f(iliae) Pollae amitae / Vibiae T(iti) f(iliae) Pollae matri t(estamento) f(ieri) i(ussit)","Publius Livius Publi filius Macer II vir QDIV sibi et Iuniae Cai filiae Vetullae uxori Publio Livio Macro VI viro avo Pinariae Sexti filiae Quartae aviae Liviae Publi filiae Pollae amitae Vibiae Titi filiae Pollae matri testamento fieri iussit",7751,6,"Vibiae T.f. Pollae",NA,"Vibia","Vibiae T.f. Pollae","Vibia","Polla",NA,NA,NA,NA,NA,NA,NA,NA,"Vibia"
"65",7756,"HD003548",NA,NA,"NULL","Transpadana (Regio XI)","Piemonte",1,50,"stele","NULL","epitaph","Q(uintus) Or/bicius / Velag/eni f(ilius)","Quintus Orbicius Velageni filius",7756,1,"Q. Orbicius Velageni f.","Q.","Orbicius","Q. Orbicius Velageni f.","Orbicius",NA,NA,"male",NA,NA,NA,NA,NA,NA,"Orbicius"
"66",7757,"HD003548",NA,NA,"NULL","Transpadana (Regio XI)","Piemonte",1,50,"stele","NULL","epitaph","Q(uintus) Or/bicius / Velag/eni f(ilius)","Quintus Orbicius Velageni filius",7757,2,"Velageni",NA,NA,"Velageni",NA,"Velagenus",NA,"male",NA,NA,NA,NA,NA,NA,NA
"67",7815,"HD003584",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"stele","NULL","epitaph","Fronto / Verionis f(ilius)","Fronto Verionis filius",7815,1,"Fronto Verionis f.",NA,NA,"Fronto Verionis f.",NA,"Fronto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",7816,"HD003584",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"stele","NULL","epitaph","Fronto / Verionis f(ilius)","Fronto Verionis filius",7816,2,"Verionis",NA,NA,"Verionis",NA,"Verio",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",7867,"HD003613",7.6867,45.0706,"Augusta Taurinorum","Transpadana (Regio XI)","Piemonte",13,44,"tabula","NULL","building/dedicatory inscription","[C(aius) Iulius Cotti f(ilius) D]onni re[gis n(epos) Donnus] praef(ectus) [ci]v[itatium Cottianorum quibus pa]ter eius praefuit / [C(aius) Iulius Donni f(ilius) C]otti n(epos) [Cottius port]icum cum [omnibus ornamentis et do]mus dederunt","Caius Iulius Cotti filius Donni regis nepos Donnus praefectus civitatium Cottianorum quibus pater eius praefuit Caius Iulius Donni filius Cotti nepos Cottius porticum cum omnibus ornamentis et domus dederunt",7867,1,"[C. Iulius Cotti f. D]onni reg[is n. Donnus]","C.+","Iulius+","[C. Iulius Cotti f. D]onni reg[is n. Donnus]","Iulius","Donnus+",NA,"male",NA,"equestrian order",NA,NA,NA,NA,"Iulius"
"70",7868,"HD003613",7.6867,45.0706,"Augusta Taurinorum","Transpadana (Regio XI)","Piemonte",13,44,"tabula","NULL","building/dedicatory inscription","[C(aius) Iulius Cotti f(ilius) D]onni re[gis n(epos) Donnus] praef(ectus) [ci]v[itatium Cottianorum quibus pa]ter eius praefuit / [C(aius) Iulius Donni f(ilius) C]otti n(epos) [Cottius port]icum cum [omnibus ornamentis et do]mus dederunt","Caius Iulius Cotti filius Donni regis nepos Donnus praefectus civitatium Cottianorum quibus pater eius praefuit Caius Iulius Donni filius Cotti nepos Cottius porticum cum omnibus ornamentis et domus dederunt",7868,2,"[Cotti]",NA,NA,"[Cotti]",NA,"Cottius+",NA,"male",NA,"equestrian order",NA,NA,NA,NA,NA
"71",7869,"HD003613",7.6867,45.0706,"Augusta Taurinorum","Transpadana (Regio XI)","Piemonte",13,44,"tabula","NULL","building/dedicatory inscription","[C(aius) Iulius Cotti f(ilius) D]onni re[gis n(epos) Donnus] praef(ectus) [ci]v[itatium Cottianorum quibus pa]ter eius praefuit / [C(aius) Iulius Donni f(ilius) C]otti n(epos) [Cottius port]icum cum [omnibus ornamentis et do]mus dederunt","Caius Iulius Cotti filius Donni regis nepos Donnus praefectus civitatium Cottianorum quibus pater eius praefuit Caius Iulius Donni filius Cotti nepos Cottius porticum cum omnibus ornamentis et domus dederunt",7869,3,"[D]onni",NA,NA,"[D]onni",NA,"Donnus+",NA,"male",NA,"rulers (foreign)",NA,NA,NA,NA,NA
"72",7870,"HD003613",7.6867,45.0706,"Augusta Taurinorum","Transpadana (Regio XI)","Piemonte",13,44,"tabula","NULL","building/dedicatory inscription","[C(aius) Iulius Cotti f(ilius) D]onni re[gis n(epos) Donnus] praef(ectus) [ci]v[itatium Cottianorum quibus pa]ter eius praefuit / [C(aius) Iulius Donni f(ilius) C]otti n(epos) [Cottius port]icum cum [omnibus ornamentis et do]mus dederunt","Caius Iulius Cotti filius Donni regis nepos Donnus praefectus civitatium Cottianorum quibus pater eius praefuit Caius Iulius Donni filius Cotti nepos Cottius porticum cum omnibus ornamentis et domus dederunt",7870,4,"[C. Iulius Donni f. C]otti n. [Cottius]","C.+","Iulius+","[C. Iulius Donni f. C]otti n. [Cottius]","Iulius","Cottius+",NA,"male",NA,"equestrian order",NA,NA,NA,NA,"Iulius"
"73",8004,"HD003692",8.8682,45.8558,"NULL","Transpadana (Regio XI)","NULL",-100,-51,"instrumentum sacrum","NULL","owner/artist inscription","T(iti) Uti V(ibi) f(ilii) p(ondo) III sc(ripula) IV","Titi Uti Vibi filii pondo III scripula IV",8004,1,"T. Uti V.f.","T.","Utius","T. Uti V.f.","Utius",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Utius"
"74",8374,"HD003871",7.5667,45.0833,"NULL","Transpadana (Regio XI)","Piemonte",42,50,"architectural member","NULL","votive inscription","------ divae Dru]sillae et divae Augu[stae ------","divae Drusillae et divae Augustae",8374,1,"[Dru]sillae",NA,NA,"[Dru]sillae",NA,"Drusilla+",NA,"female",NA,NA,NA,NA,NA,NA,NA
"75",8375,"HD003871",7.5667,45.0833,"NULL","Transpadana (Regio XI)","Piemonte",42,50,"architectural member","NULL","votive inscription","------ divae Dru]sillae et divae Augu[stae ------","divae Drusillae et divae Augustae",8375,2,"Augu[stae]",NA,NA,"Augu[stae]",NA,"Augusta+",NA,"female",NA,NA,NA,NA,NA,NA,NA
"76",8378,"HD003874",7.5667,45.0833,"NULL","Transpadana (Regio XI)","Piemonte",31,70,"base","NULL","honorific inscription","Gaviae M(arci) f(iliae) Pupae / flaminicae / Fadiena Facilis","Gaviae Marci filiae Pupae flaminicae Fadiena Facilis",8378,1,"Gaviae M.f. Pupae",NA,"Gavia","Gaviae M.f. Pupae","Gavia","Pupa",NA,"male",NA,"decurial order, higher local offices",NA,NA,NA,NA,"Gavia"
"77",8379,"HD003874",7.5667,45.0833,"NULL","Transpadana (Regio XI)","Piemonte",31,70,"base","NULL","honorific inscription","Gaviae M(arci) f(iliae) Pupae / flaminicae / Fadiena Facilis","Gaviae Marci filiae Pupae flaminicae Fadiena Facilis",8379,2,"Fadiena Facilis",NA,"Fadiena","Fadiena Facilis","Fadiena","Facilis",NA,"female",NA,NA,NA,NA,NA,NA,"Fadiena"
"78",8908,"HD004192",8.8682,45.8558,"NULL","Transpadana (Regio XI)","NULL",-100,-51,"instrumentum domesticum","NULL","owner/artist inscription","Utia T(iti) f(ilia) p(ondo) I","Utia Titi filia pondo I",8908,1,"Utia T.f.",NA,"Utia","Utia T.f.","Utia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Utia"
"79",9571,"HD004553",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"stele","NULL","epitaph","Salvius / Vindonis / f(ilius)","Salvius Vindonis filius",9571,1,"Salvius Vindonis f.",NA,NA,"Salvius Vindonis f.",NA,"Salvius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",9572,"HD004553",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"stele","NULL","epitaph","Salvius / Vindonis / f(ilius)","Salvius Vindonis filius",9572,2,"Vindonis",NA,NA,"Vindonis",NA,"Vindo",NA,NA,NA,NA,NA,NA,NA,NA,NA
